航班号     共享航班     经停站     目的站     办票时间     值机柜台     登机口     航班状态
363        -----        -----       -----       -----       B08          -----        -----      
363        -----        -----       -----       -----       B09          -----        -----      
8365       -----        -----       -----       -----       -----        -----        CKI     
7819       -----        -----       -----       -----       -----        -----        CKI     
7857       -----        -----       -----       -----       -----        -----        CKI     
8365       -----        -----       -----       -----       H04          -----        -----      
8365       -----        -----       -----       -----       H07          -----        -----      
3035       -----        -----       -----       -----       -----        -----        CKI     
3035       -----        -----       -----       -----       G21          -----        -----      
3035       -----        -----       -----       -----       G19          -----        -----      
7830       -----        -----       -----       -----       -----        -----        CKI     
9070       -----        -----       -----       -----       -----        -----        CKI     
951        -----        -----       -----       -----       -----        -----        CKI     
9070       -----        -----       -----       -----       H06          -----        -----      
9070       -----        -----       -----       -----       H04          -----        -----      
951        -----        -----       -----       -----       B14          -----        -----      
951        -----        -----       -----       -----       B14          -----        -----      
2777       -----        -----       -----       -----       -----        -----        CKI     
7815       -----        -----       -----       -----       -----        -----        CKI     
1529       -----        -----       -----       -----       -----        -----        CKI     
1245       -----        -----       -----       -----       -----        -----        CKI     
2777       -----        -----       -----       -----       G17          -----        -----      
2777       -----        -----       -----       -----       G16          -----        -----      
2990       -----        -----       -----       -----       -----        -----        ARR     
2990       -----        -----       -----       -----       -----        -----        -----      
2990       -----        -----       -----       -----       -----        -----        -----      
2777       -----        -----       -----       -----       -----        -----        -----      
2990       -----        -----       -----       -----       -----        -----        -----      
2990       -----        -----       -----       -----       -----        -----        -----      
777        -----        -----       -----       -----       -----        -----        null     
777        -----        -----       -----       -----       B15          -----        -----      
777        -----        -----       -----       -----       B15          -----        -----      
840        -----        -----       -----       -----       -----        -----        -----      
2931       -----        null         null       null       -----        -----        -----      
2931       -----        -----       -----       -----       -----        -----        -----      
8349       -----        -----       -----       -----       -----        -----        -----      
8349       -----        -----       -----       -----       -----        212          -----      
8349       -----        -----       -----       -----       -----        212          -----      
7839       -----        -----       -----       -----       -----        -----        CKI     
7803       -----        -----       -----       -----       -----        -----        CKI     
1668       -----        -----       -----       null       -----        -----        -----      
1668       -----        -----       -----       -----       -----        -----        ONR     
1609       -----        -----       -----       -----       -----        -----        -----      
139        -----        -----       -----       -----       -----        -----        -----      
1427       -----        -----       -----       -----       -----        -----        CKI     
7833       -----        -----       -----       -----       -----        -----        CKI     
7881       -----        -----       -----       -----       -----        -----        CKI     
BDJ200     -----        -----       -----       -----       -----        -----        -----      
BDJ200     -----        -----       -----       -----       -----        -----        -----      
BDJ200     -----        -----       -----       -----       -----        -----        -----      
BDJ201     -----        -----       -----       -----       -----        -----        -----      
BDJ200     -----        -----       -----       -----       -----        -----        -----      
BDJ200     -----        -----       -----       -----       -----        -----        -----      
BDJ201     -----        -----       -----       -----       -----        -----        -----      
7498       -----        -----       -----       null       -----        -----        -----      
7498       -----        -----       -----       -----       -----        -----        ONR     
7498       -----        -----       -----       -----       -----        -----        -----      
1641       -----        -----       -----       -----       -----        -----        -----      
1641       -----        -----       -----       -----       -----        264          -----      
1641       -----        -----       -----       -----       -----        264          -----      
2751       -----        -----       -----       -----       -----        -----        -----      
2751       -----        -----       -----       -----       -----        225          -----      
2751       -----        -----       -----       -----       -----        225          -----      
2877       -----        -----       -----       -----       -----        -----        CKO     
1601       -----        -----       -----       -----       -----        -----        CKI     
2217       -----        -----       -----       -----       -----        -----        CKO     
7993       -----        -----       -----       -----       -----        -----        CKI     
1317       -----        -----       -----       -----       -----        -----        CKI     
2877       -----        -----       -----       -----       H05          -----        -----      
2877       -----        -----       -----       -----       G19          -----        -----      
1601       -----        -----       -----       -----       G20          -----        -----      
1601       -----        -----       -----       -----       G17          -----        -----      
2217       -----        -----       -----       -----       H07          -----        -----      
9102       -----        -----       -----       null       -----        -----        -----      
9102       -----        -----       -----       -----       -----        -----        ONR     
2217       -----        -----       -----       -----       H04          -----        -----      
7993       -----        -----       -----       -----       B06          -----        -----      
9111       -----        -----       -----       -----       -----        -----        -----      
7993       -----        -----       -----       -----       B06          -----        -----      
2217       -----        -----       -----       -----       -----        -----        -----      
2217       -----        -----       -----       -----       -----        216          -----      
2217       -----        -----       -----       -----       -----        216          -----      
328        -----        -----       -----       -----       -----        -----        -----      
7817       -----        -----       -----       -----       -----        -----        CKI     
7853       -----        -----       -----       -----       -----        -----        CKI     
8357       -----        -----       -----       -----       -----        -----        CKO     
8313       -----        -----       -----       -----       -----        -----        CKI     
8357       -----        -----       -----       -----       G19          -----        -----      
8357       -----        -----       -----       -----       H06          -----        -----      
8313       -----        -----       -----       -----       G22          -----        -----      
8313       -----        -----       -----       -----       G21          -----        -----      
2877       -----        -----       -----       -----       -----        -----        -----      
2877       -----        -----       -----       -----       -----        227          -----      
